run,cond,i,layer,vector,at_prompt_end,mean_reasoning,mean_first200,mean_last200,n_reasoning_tokens
qwen3.5-27b_20260823_223518,below_good,59,32,value_axis,-0.5086278319358826,-4.050265312194824,-3.611673593521118,-2.714538335800171,7597
qwen3.5-27b_20260823_223518,below_good,59,32,random_control,-0.11552993953227997,0.07458434998989105,0.2216661274433136,-0.0009159857290796936,7597
qwen3.5-27b_20260823_223518,below_good,59,24,value_axis,-6.58986234664917,-9.512354850769043,-10.119603157043457,-8.265151023864746,7597
qwen3.5-27b_20260823_223518,below_good,59,24,random_control,0.4554733633995056,0.4031832218170166,0.34424251317977905,0.535679042339325,7597
qwen3.5-27b_20260823_223518,below_good,59,40,value_axis,16.539804458618164,13.711664199829102,13.706103324890137,15.507596015930176,7597
qwen3.5-27b_20260823_223518,below_good,59,40,random_control,-1.4791936874389648,-1.4058685302734375,-1.3144694566726685,-1.3754525184631348,7597
qwen3.5-27b_20260823_223518,below_good,60,32,value_axis,-0.5086305737495422,-4.040933132171631,-3.6680333614349365,-3.3312127590179443,9235
qwen3.5-27b_20260823_223518,below_good,60,32,random_control,-0.11553037166595459,0.046608053147792816,0.12822046875953674,0.08737966418266296,9235
qwen3.5-27b_20260823_223518,below_good,60,24,value_axis,-6.58985710144043,-9.34020709991455,-10.319655418395996,-8.686092376708984,9235
qwen3.5-27b_20260823_223518,below_good,60,24,random_control,0.4554726779460907,0.4353066086769104,0.3942296504974365,0.4289707839488983,9235
qwen3.5-27b_20260823_223518,below_good,60,40,value_axis,16.53980827331543,13.43658447265625,13.710624694824219,15.119118690490723,9235
qwen3.5-27b_20260823_223518,below_good,60,40,random_control,-1.479193925857544,-1.348347783088684,-1.297330617904663,-1.4935563802719116,9235
qwen3.5-27b_20260823_223518,below_good,61,32,value_axis,-0.5086302757263184,-3.816596269607544,-3.846792697906494,-3.4010703563690186,11447
qwen3.5-27b_20260823_223518,below_good,61,32,random_control,-0.11553022265434265,0.10985662788152695,0.13122645020484924,0.24620187282562256,11447
qwen3.5-27b_20260823_223518,below_good,61,24,value_axis,-6.589860916137695,-9.24547290802002,-10.236067771911621,-8.878459930419922,11447
qwen3.5-27b_20260823_223518,below_good,61,24,random_control,0.45547306537628174,0.40886491537094116,0.41655099391937256,0.46737340092658997,11447
qwen3.5-27b_20260823_223518,below_good,61,40,value_axis,16.53980827331543,14.087066650390625,13.439465522766113,14.667769432067871,11447
qwen3.5-27b_20260823_223518,below_good,61,40,random_control,-1.4791929721832275,-1.4010906219482422,-1.4281162023544312,-1.3189895153045654,11447
qwen3.5-27b_20260823_223518,below_good,62,32,value_axis,-0.5086302757263184,-3.8368842601776123,-4.058862209320068,-3.7809789180755615,10447
qwen3.5-27b_20260823_223518,below_good,62,32,random_control,-0.11553022265434265,0.07965296506881714,0.1357697993516922,0.12004800885915756,10447
qwen3.5-27b_20260823_223518,below_good,62,24,value_axis,-6.589860916137695,-9.286881446838379,-10.509801864624023,-9.165523529052734,10447
qwen3.5-27b_20260823_223518,below_good,62,24,random_control,0.45547306537628174,0.41118693351745605,0.4531536102294922,0.40608784556388855,10447
